YY/MM/DD,Hour:Min:Sec,r1,r2,MS5803_T,pressure,therm_T
2021/4/1,13:38:13,35.76, 6.65,18.05382,1006.295,16.43646
2021/4/1,13:48:23,36.25, 5.18,18.30486,1006.486,16.82149
2021/4/1,13:48:48,36.15, 5.33,18.32278,1006.258,16.83922
2021/4/1,13:49:50,33.67, 2.37,18.3407,1006.29,16.94537
2021/4/1,13:54:51,34.98, 4.01,18.39444,1006.387,16.8851
2021/4/1,13:59:52,35.03, 3.64,18.35861,1006.323,16.80285
2021/4/1,14:4:53,35.62, 4.71,18.37653,1006.094,16.87214
2021/4/1,14:9:53,35.22, 5.11,18.43025,1006.191,16.87138
2021/4/1,14:14:54,34.42, 4.41,18.3407,1006.29,16.60613
2021/4/1,14:19:55,35.08, 4.43,18.14352,1006.196,16.22212
2021/4/1,14:24:56,35.69, 4.89,17.85633,1006.46,16.00289
2021/4/1,14:29:56,35.08, 4.03,18.01793,1007.271,15.95657
2021/4/1,14:34:57,34.95, 5.61,18.60922,1012.247,16.57953
2021/4/1,14:39:58,34.74, 5.14,19.05584,1013.317,16.98147
2021/4/1,14:44:59,35.90, 4.32,19.50132,1012.818,17.39006
2021/4/1,14:49:59,35.42, 4.69,19.89239,1013.002,17.82332
2021/4/1,14:55:0,35.11, 5.37,19.87463,1012.708,17.77879
2021/4/1,15:0:1,117.78,101.82,19.30545,1013.769,15.4654
2021/4/1,15:5:2,30.81,44.05,17.85633,1021.034,13.74395
2021/4/1,15:10:2,43.03,38.10,12.5511,1018.238,10.73527
2021/4/1,15:15:3,44.38,39.59,12.40306,1018.992,10.68272
2021/4/1,15:20:4,46.27,42.20,12.4956,1018.65,10.82366
2021/4/1,15:25:5,45.20,41.04,12.4956,1019.679,10.8207
2021/4/1,15:30:5,45.98,42.46,12.38455,1019.73,10.75819
2021/4/1,15:35:6,45.75,42.31,12.329,1021.684,10.60933
2021/4/1,15:40:7,45.07,42.37,12.34752,1021.975,10.62302
2021/4/1,15:45:8,43.65,40.83,12.5141,1023.572,10.81507
2021/4/1,15:50:8,42.99,40.25,12.44008,1024.462,10.73936
2021/4/1,15:55:9,43.69,40.83,12.45859,1026.555,10.72555
2021/4/1,16:0:10,43.99,41.97,12.23638,1028.709,10.56722
2021/4/1,16:5:11,44.53,41.92,12.29196,1031.899,10.64017
2021/4/1,16:10:11,46.11,44.13,12.01391,1034.716,10.28113
2021/4/1,16:15:12,48.06,46.16,11.32628,1039.315,9.619305
2021/4/1,16:20:13,47.36,45.48,11.06545,1044.203,9.391001
2021/4/1,16:25:14,47.53,45.63,11.25179,1046.356,9.58397
2021/4/1,16:30:14,49.89,48.96,11.06545,1051.127,9.398506
2021/4/1,16:35:15,49.31,47.95,11.06545,1055.998,9.36272
2021/4/1,16:40:16,46.50,44.67,11.40074,1059.986,9.683497
2021/4/1,16:45:17,48.96,46.95,11.30766,1064.936,9.635451
2021/4/1,16:50:17,52.78,50.40,11.14001,1069.48,9.530689
2021/4/1,16:55:18,52.47,51.03,10.89758,1077.717,9.214578
2021/4/1,17:0:19,49.53,47.73,10.80425,1083.169,9.100531
2021/4/1,17:5:20,50.69,48.51,10.78558,1086.976,9.115418
2021/4/1,17:10:20,56.40,53.74,11.32628,1092.682,9.649673
2021/4/1,17:15:21,47.70,44.90,11.32628,1098.07,9.666835
2021/4/1,17:20:22,59.25,57.68,11.02816,1103.617,9.400327
2021/4/1,17:25:22,47.21,45.16,10.86025,1109.938,9.174569
2021/4/1,17:30:23,42.60,40.17,11.02816,1117.207,9.307383
2021/4/1,17:35:24,51.19,48.98,11.06545,1124.977,9.437144
