YY/MM/DD,Hour:Min:Sec,r1,r2,MS5803_T,pressure
4/1/2021,13:50:00,-999999.33,-999999.33,18.64,1003.4
4/1/2021,13:50:30,-999999.33,-999999.33,18.89,1004.1
4/1/2021,13:51:00,-999999.33,-999999.33,18.94,1003.7
4/1/2021,13:51:30,-999999.33,-999999.33,18.89,1003.6
4/1/2021,13:52:00,-999999.33,-999999.33,18.92,1003.2
4/1/2021,13:52:30,-999999.33,-999999.33,18.89,1003.6
4/1/2021,13:53:00,-999999.33,-999999.33,18.94,1003.5
4/1/2021,13:53:30,-999999.33,-999999.33,18.91,1003.9
4/1/2021,13:54:00,-999999.33,-999999.33,18.87,1003.8
4/1/2021,13:54:30,-999999.33,-999999.33,18.87,1003.8
4/1/2021,13:55:00,-999999.33,-999999.33,18.91,1003.4
4/1/2021,13:55:30,-999999.33,-999999.33,18.89,1003.6
4/1/2021,13:56:00,-999999.33,-999999.33,18.91,1003.7
4/1/2021,13:56:30,-999999.33,-999999.33,18.92,1003.7
4/1/2021,13:57:00,-999999.33,-999999.33,18.91,1003.9
4/1/2021,13:57:30,-999999.33,-999999.33,18.96,1003.5
4/1/2021,13:58:00,-999999.33,-999999.33,18.94,1003.5
4/1/2021,13:58:30,-999999.33,-999999.33,18.92,1003.9
4/1/2021,13:59:01,-999999.33,-999999.33,18.91,1003.7
4/1/2021,13:59:31,-999999.33,-999999.33,18.89,1003.9
4/1/2021,14:00:01,-999999.33,-999999.33,18.87,1003.3
4/1/2021,14:00:31,-999999.33,-999999.33,18.85,1003.6
4/1/2021,14:01:01,-999999.33,-999999.33,18.85,1003.6
4/1/2021,14:01:31,-999999.33,-999999.33,18.85,1003.8
4/1/2021,14:02:01,-999999.33,-999999.33,18.82,1004
4/1/2021,14:02:31,-999999.33,-999999.33,18.82,1003.7
4/1/2021,14:03:01,-999999.33,-999999.33,18.78,1003.4
4/1/2021,14:03:31,-999999.33,-999999.33,18.76,1003.1
4/1/2021,14:04:01,-999999.33,-999999.33,18.76,1003.4
4/1/2021,14:04:31,-999999.33,-999999.33,18.75,1004.1
4/1/2021,14:05:01,-999999.33,-999999.33,18.73,1003.6
4/1/2021,14:05:31,-999999.33,-999999.33,18.73,1003.8
4/1/2021,14:06:01,-999999.33,-999999.33,18.71,1004.3
4/1/2021,14:06:31,-999999.33,-999999.33,18.69,1003.8
4/1/2021,14:07:01,-999999.33,-999999.33,18.68,1003.2
4/1/2021,14:07:31,-999999.33,-999999.33,18.66,1003.4
4/1/2021,14:08:01,-999999.33,-999999.33,18.64,1003.9
4/1/2021,14:08:31,-999999.33,-999999.33,18.64,1003.4
4/1/2021,14:09:01,-999999.33,-999999.33,18.62,1003.6
4/1/2021,14:09:31,-999999.33,-999999.33,18.59,1003.8
4/1/2021,14:10:01,-999999.33,-999999.33,18.59,1003.8
4/1/2021,14:10:31,-999999.33,-999999.33,18.57,1003.5
4/1/2021,14:11:01,-999999.33,-999999.33,18.47,1003.6
4/1/2021,14:11:31,-999999.33,-999999.33,18.41,1003.5
4/1/2021,14:12:01,-999999.33,-999999.33,18.41,1003.5
4/1/2021,14:12:31,-999999.33,-999999.33,18.41,1003.7
4/1/2021,14:13:01,-999999.33,-999999.33,18.36,1003.6
4/1/2021,14:13:31,-999999.33,-999999.33,18.38,1003.7
4/1/2021,14:14:01,-999999.33,-999999.33,18.38,1003.2
4/1/2021,14:14:31,-999999.33,-999999.33,18.36,1003.9
4/1/2021,14:15:01,-999999.33,-999999.33,18.36,1003.6
4/1/2021,14:15:31,-999999.33,-999999.33,18.34,1003.1
4/1/2021,14:16:01,-999999.33,-999999.33,18.32,1004.1
4/1/2021,14:16:31,-999999.33,-999999.33,18.31,1003.5
4/1/2021,14:17:02,-999999.33,-999999.33,18.27,1003.5
4/1/2021,14:17:32,-999999.33,-999999.33,18.27,1003.5
4/1/2021,14:18:02,-999999.33,-999999.33,18.08,1003.8
4/1/2021,14:18:32,-999999.33,-999999.33,17.88,1003.7
4/1/2021,14:19:02,-999999.33,-999999.33,17.72,1003.2
4/1/2021,14:19:32,-999999.33,-999999.33,17.83,1004.1
4/1/2021,14:20:02,-999999.33,-999999.33,17.9,1003.8
4/1/2021,14:20:32,-999999.33,-999999.33,18.01,1003.7
4/1/2021,14:21:02,-999999.33,-999999.33,18.08,1003.6
4/1/2021,14:21:32,-999999.33,-999999.33,18.1,1003.4
4/1/2021,14:22:02,-999999.33,-999999.33,18.13,1003.7
4/1/2021,14:22:32,-999999.33,-999999.33,18.18,1003.5
4/1/2021,14:23:02,-999999.33,-999999.33,18.36,1004.9
4/1/2021,14:23:32,-999999.33,-999999.33,18.43,1003
4/1/2021,14:24:02,-999999.33,-999999.33,18.43,1001.3
4/1/2021,14:24:32,-999999.33,-999999.33,18.52,999.9
4/1/2021,14:25:02,-999999.33,-999999.33,18.55,1002.5
4/1/2021,14:25:32,-999999.33,-999999.33,18.64,1005.2
4/1/2021,14:26:02,-999999.33,-999999.33,18.69,1004.5
4/1/2021,14:26:32,-999999.33,-999999.33,18.73,1002.6
4/1/2021,14:27:02,-999999.33,-999999.33,18.76,1005.1
4/1/2021,14:27:32,-999999.33,-999999.33,18.82,1007
4/1/2021,14:28:02,-999999.33,-999999.33,18.91,1008.4
4/1/2021,14:28:32,-999999.33,-999999.33,18.94,1012
4/1/2021,14:29:02,-999999.33,-999999.33,18.98,1014.6
4/1/2021,14:29:32,-999999.33,-999999.33,18.96,1014.8
4/1/2021,14:30:02,-999999.33,-999999.33,18.98,1011
4/1/2021,14:30:32,-999999.33,-999999.33,19.01,1008.9
4/1/2021,14:31:02,-999999.33,-999999.33,19.08,1010.2
4/1/2021,14:31:32,-999999.33,-999999.33,19.13,1009.6
4/1/2021,14:32:02,-999999.33,-999999.33,19.17,1009.7
4/1/2021,14:32:32,-999999.33,-999999.33,19.24,1010.8
4/1/2021,14:33:02,-999999.33,-999999.33,19.31,1010.4
4/1/2021,14:33:32,-999999.33,-999999.33,19.31,1010.7
4/1/2021,14:34:02,-999999.33,-999999.33,19.4,1010.8
4/1/2021,14:34:32,-999999.33,-999999.33,19.41,1011.1
4/1/2021,14:35:03,-999999.33,-999999.33,19.43,1010.7
4/1/2021,14:35:33,-999999.33,-999999.33,19.47,1011
4/1/2021,14:36:03,-999999.33,-999999.33,19.54,1010.4
4/1/2021,14:36:33,-999999.33,-999999.33,19.59,1010.7
4/1/2021,14:37:03,-999999.33,-999999.33,19.62,1010
4/1/2021,14:37:33,-999999.33,-999999.33,19.71,1010.2
4/1/2021,14:38:03,-999999.33,-999999.33,19.76,1010.3
4/1/2021,14:38:33,-999999.33,-999999.33,19.83,1010.7
4/1/2021,14:39:03,-999999.33,-999999.33,19.89,1010.5
4/1/2021,14:39:33,-999999.33,-999999.33,19.92,1010.6
4/1/2021,14:40:03,-999999.33,-999999.33,19.96,1010.7
4/1/2021,14:40:33,-999999.33,-999999.33,19.99,1010.5
4/1/2021,14:41:03,-999999.33,-999999.33,20.04,1010.6
4/1/2021,14:41:33,-999999.33,-999999.33,20.09,1010.7
4/1/2021,14:42:03,-999999.33,-999999.33,20.13,1010.2
4/1/2021,14:42:33,-999999.33,-999999.33,20.18,1010.1
4/1/2021,14:43:03,-999999.33,-999999.33,20.2,1010.6
4/1/2021,14:43:33,-999999.33,-999999.33,20.2,1010.4
4/1/2021,14:44:03,-999999.33,-999999.33,20.23,1010.4
4/1/2021,14:44:33,-999999.33,-999999.33,20.25,1010.2
4/1/2021,14:45:03,-999999.33,-999999.33,20.25,1010.2
4/1/2021,14:45:33,-999999.33,-999999.33,20.23,1009.9
4/1/2021,14:46:03,-999999.33,-999999.33,20.03,1009.8
4/1/2021,14:46:33,-999999.33,-999999.33,20.11,1010.5
4/1/2021,14:47:03,-999999.33,-999999.33,20.01,1009.8
4/1/2021,14:47:33,-999999.33,-999999.33,19.87,1010.2
4/1/2021,14:48:03,-999999.33,-999999.33,19.78,1010.1
4/1/2021,14:48:33,-999999.33,-999999.33,19.36,1007.8
4/1/2021,14:49:03,21.01,27.33,18.69,1010.3
4/1/2021,14:49:33,-999999.33,-999999.33,18.59,1009.8
4/1/2021,14:50:03,-999999.33,-999999.33,18.52,1010.2
4/1/2021,14:50:33,-999999.33,-999999.33,18.31,1010
4/1/2021,14:51:03,-999999.33,-999999.33,18.34,1010.1
4/1/2021,14:51:33,-999999.33,-999999.33,18.47,1010.6
4/1/2021,14:52:03,-999999.33,-999999.33,18.5,1010.4
4/1/2021,14:52:34,-999999.33,-999999.33,18.59,1010.3
4/1/2021,14:53:04,-999999.33,-999999.33,18.62,1010.1
4/1/2021,14:53:34,-999999.33,-999999.33,18.61,1010.1
4/1/2021,14:54:04,-999999.33,-999999.33,18.62,1010.1
4/1/2021,14:54:34,-999999.33,-999999.33,18.62,1010.4
4/1/2021,14:55:04,-999999.33,-999999.33,17.8,1009.8
4/1/2021,14:55:34,-999999.33,-999999.33,16.84,1010.2
4/1/2021,14:56:04,-999999.33,-999999.33,16.14,1010.1
4/1/2021,14:56:34,-999999.33,-999999.33,16.02,1010.4
4/1/2021,14:57:04,428.92,467.47,15.82,1015.2
4/1/2021,14:57:34,443.83,460.74,12.48,1016.2
4/1/2021,14:58:04,447.81,459.22,12.01,1015.5
4/1/2021,14:58:34,307.18,313.31,11.81,1014.6
4/1/2021,14:59:04,382.45,392.63,11.7,1013.7
4/1/2021,14:59:34,350.16,358.15,11.64,1013.8
4/1/2021,15:00:04,378.23,388.66,11.59,1014.2
4/1/2021,15:00:34,375.52,388.48,11.55,1014.4
4/1/2021,15:01:04,376.45,387.19,11.53,1013.4
4/1/2021,15:01:34,349.58,358.27,11.5,1014
4/1/2021,15:02:04,423.04,440.92,11.46,1014.4
4/1/2021,15:02:34,401.13,415.06,11.46,1014.4
4/1/2021,15:03:04,394.22,404.78,11.44,1013.9
4/1/2021,15:03:34,415.89,432.97,11.46,1014.7
4/1/2021,15:04:04,444.69,461.61,11.41,1014.1
4/1/2021,15:04:34,367.25,374.05,11.46,1014.4
4/1/2021,15:05:04,353.11,363.88,11.41,1013.8
4/1/2021,15:05:34,363.06,377.85,11.46,1014.9
4/1/2021,15:06:04,389.13,404.45,11.46,1014.2
4/1/2021,15:06:34,384.36,402.42,11.44,1013.7
4/1/2021,15:07:04,402.6,421.37,11.46,1013.7
4/1/2021,15:07:34,495.21,518.82,11.52,1015
4/1/2021,15:08:04,474.34,492.37,11.53,1014.3
4/1/2021,15:08:34,478.29,495.1,11.55,1015.1
4/1/2021,15:09:04,480.89,499.42,11.59,1014.7
4/1/2021,15:09:34,500.2,524.23,11.59,1014.4
4/1/2021,15:10:04,523.79,552.34,11.61,1015.2
4/1/2021,15:10:35,519.17,547.25,11.66,1015.8
4/1/2021,15:11:05,513.39,541.46,11.66,1014.6
4/1/2021,15:11:35,520.6,549.46,11.64,1014.6
4/1/2021,15:12:05,486.32,511.14,11.61,1014.5
4/1/2021,15:12:35,529.72,560.35,11.63,1014.3
4/1/2021,15:13:05,531.26,562.84,11.64,1014.8
4/1/2021,15:13:35,526.87,557.04,11.63,1014.3
4/1/2021,15:14:05,539.41,572.86,11.63,1015.5
