Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Cond uS/cm,Depth m,nLF Cond uS/cm,Pressure psi a,Sal psu,SpCond uS/cm,TDS mg/L,Temp C,Vertical Position m,Battery V,Cable Pwr V
4/1/2021,13:30:30,0,Default,27.3,-0.111,33.2,-0.157,0.01,32.7,21,16.321,-0.111,3.08,1.5
4/1/2021,13:31:00,0,Default,26.8,-0.11,32.5,-0.156,0.01,32.1,21,16.39,-0.109,3.07,1.5
4/1/2021,13:31:30,0,Default,26.4,-0.11,31.9,-0.156,0.01,31.5,20,16.452,-0.111,3.07,1.5
4/1/2021,13:32:00,0,Default,26.1,-0.111,31.5,-0.158,0.01,31.1,20,16.508,-0.112,3.07,1.5
4/1/2021,13:32:30,0,Default,25.8,-0.112,31.2,-0.159,0.01,30.8,20,16.559,-0.113,3.07,1.5
4/1/2021,13:33:00,0,Default,25.6,-0.112,30.9,-0.159,0.01,30.5,20,16.606,-0.111,3.07,1.5
4/1/2021,13:33:30,0,Default,25.3,-0.112,30.5,-0.16,0.01,30.1,20,16.651,-0.112,3.07,1.5
4/1/2021,13:34:00,0,Default,25.4,-0.113,30.6,-0.161,0.01,30.2,20,16.692,-0.113,3.07,1.5
4/1/2021,13:34:30,0,Default,25.2,-0.113,30.3,-0.161,0.01,29.9,19,16.73,-0.115,3.07,1.5
4/1/2021,13:35:00,0,Default,25,-0.113,30.1,-0.161,0.01,29.7,19,16.766,-0.114,3.07,1.5
4/1/2021,13:35:30,0,Default,25.4,-0.114,30.5,-0.161,0.01,30.1,20,16.8,-0.112,3.07,1.5
4/1/2021,13:36:00,0,Default,25.3,-0.114,30.4,-0.162,0.01,30,20,16.831,-0.114,3.07,1.5
4/1/2021,13:36:30,0,Default,24.6,-0.114,29.5,-0.162,0.01,29.1,19,16.859,-0.115,3.06,1.5
4/1/2021,13:37:00,0,Default,24.2,-0.115,29,-0.163,0.01,28.6,19,16.886,-0.114,3.07,1.5
4/1/2021,13:37:30,0,Default,23.9,-0.115,28.6,-0.163,0.01,28.2,18,16.912,-0.114,3.07,1.5
4/1/2021,13:38:00,0,Default,23.7,-0.115,28.3,-0.163,0.01,28,18,16.935,-0.115,3.07,1.5
4/1/2021,13:38:30,0,Default,23.5,-0.114,28.1,-0.163,0.01,27.8,18,16.957,-0.116,3.07,1.5
4/1/2021,13:39:00,0,Default,23.4,-0.115,28,-0.163,0.01,27.6,18,16.978,-0.116,3.07,1.5
4/1/2021,13:39:30,0,Default,23.3,-0.115,27.9,-0.163,0.01,27.5,18,16.997,-0.114,3.06,1.5
4/1/2021,13:40:00,0,Default,23.2,-0.115,27.8,-0.163,0.01,27.4,18,17.015,-0.115,3.07,1.5
4/1/2021,13:40:30,0,Default,23.2,-0.115,27.7,-0.163,0.01,27.3,18,17.032,-0.114,3.06,1.5
4/1/2021,13:41:00,0,Default,23.1,-0.115,27.6,-0.163,0.01,27.2,18,17.047,-0.114,3.06,1.5
4/1/2021,13:41:30,0,Default,23,-0.115,27.5,-0.163,0.01,27.1,18,17.062,-0.116,3.06,1.5
4/1/2021,13:42:00,0,Default,22.9,-0.115,27.4,-0.163,0.01,27,18,17.075,-0.116,3.06,1.5
4/1/2021,13:42:30,0,Default,22.9,-0.115,27.3,-0.163,0.01,27,18,17.087,-0.115,3.06,1.5
4/1/2021,13:43:00,0,Default,22.8,-0.115,27.2,-0.163,0.01,26.9,17,17.099,-0.113,3.06,1.5
4/1/2021,13:43:30,0,Default,22.7,-0.115,27.1,-0.163,0.01,26.7,17,17.109,-0.116,3.06,1.5
4/1/2021,13:44:00,0,Default,22.6,-0.115,26.9,-0.163,0.01,26.6,17,17.119,-0.114,3.06,1.5
4/1/2021,13:44:30,0,Default,22.4,-0.115,26.7,-0.164,0.01,26.4,17,17.128,-0.116,3.06,1.5
4/1/2021,13:45:00,0,Default,22.3,-0.115,26.5,-0.163,0.01,26.2,17,17.137,-0.113,3.05,1.5
4/1/2021,13:45:30,0,Default,22.2,-0.115,26.4,-0.163,0.01,26.1,17,17.145,-0.114,3.06,1.5
4/1/2021,13:46:00,0,Default,22.1,-0.115,26.3,-0.163,0.01,26,17,17.154,-0.115,3.06,1.5
4/1/2021,13:46:30,0,Default,22.1,-0.115,26.3,-0.163,0.01,25.9,17,17.161,-0.115,3.06,1.5
4/1/2021,13:47:00,0,Default,22,-0.115,26.2,-0.163,0.01,25.9,17,17.169,-0.115,3.06,1.5
4/1/2021,13:47:30,0,Default,22,-0.115,26.2,-0.163,0.01,25.8,17,17.176,-0.117,3.06,1.5
4/1/2021,13:48:00,0,Default,21.9,-0.115,26.1,-0.164,0.01,25.8,17,17.182,-0.117,3.05,1.5
4/1/2021,13:48:30,0,Default,21.9,-0.115,26.1,-0.164,0.01,25.8,17,17.19,-0.114,3.06,1.5
4/1/2021,13:49:00,0,Default,21.9,-0.115,26,-0.164,0.01,25.7,17,17.196,-0.114,3.06,1.5
4/1/2021,13:49:30,0,Default,21.8,-0.115,26,-0.164,0.01,25.7,17,17.202,-0.115,3.05,1.5
4/1/2021,13:50:00,0,Default,21.8,-0.115,25.9,-0.164,0.01,25.6,17,17.208,-0.114,3.05,1.5
4/1/2021,13:50:30,0,Default,21.7,-0.115,25.8,-0.164,0.01,25.5,17,17.214,-0.115,3.05,1.5
4/1/2021,13:51:00,0,Default,21.7,-0.115,25.9,-0.164,0.01,25.5,17,17.22,-0.116,3.05,1.5
4/1/2021,13:51:30,0,Default,21.7,-0.115,25.8,-0.164,0.01,25.5,17,17.225,-0.117,3.05,1.5
4/1/2021,13:52:00,0,Default,21.7,-0.116,25.8,-0.164,0.01,25.5,17,17.231,-0.117,3.05,1.5
4/1/2021,13:52:30,0,Default,21.6,-0.116,25.7,-0.165,0.01,25.4,17,17.236,-0.114,3.05,1.5
4/1/2021,13:53:00,0,Default,21.6,-0.116,25.7,-0.165,0.01,25.4,16,17.24,-0.116,3.05,1.5
4/1/2021,13:53:30,0,Default,21.6,-0.117,25.7,-0.166,0.01,25.3,16,17.245,-0.117,3.05,1.5
4/1/2021,13:54:00,0,Default,21.5,-0.116,25.6,-0.165,0.01,25.3,16,17.248,-0.119,3.04,1.5
4/1/2021,13:54:30,0,Default,21.5,-0.117,25.6,-0.166,0.01,25.2,16,17.252,-0.116,3.05,1.5
4/1/2021,13:55:00,0,Default,21.5,-0.116,25.5,-0.165,0.01,25.2,16,17.255,-0.115,3.05,1.5
4/1/2021,13:55:30,0,Default,21.4,-0.117,25.5,-0.165,0.01,25.2,16,17.258,-0.117,3.05,1.5
4/1/2021,13:56:00,0,Default,21.4,-0.117,25.4,-0.166,0.01,25.1,16,17.261,-0.116,3.05,1.5
4/1/2021,13:56:30,0,Default,21.4,-0.117,25.4,-0.166,0.01,25.1,16,17.263,-0.116,3.05,1.5
4/1/2021,13:57:00,0,Default,21.3,-0.117,25.3,-0.166,0.01,25,16,17.266,-0.117,3.04,1.5
4/1/2021,13:57:30,0,Default,21.3,-0.117,25.3,-0.167,0.01,25,16,17.268,-0.118,3.04,1.5
4/1/2021,13:58:00,0,Default,21.2,-0.117,25.2,-0.166,0.01,24.9,16,17.27,-0.118,3.05,1.5
4/1/2021,13:58:30,0,Default,21.2,-0.117,25.2,-0.167,0.01,24.9,16,17.272,-0.117,3.04,1.5
4/1/2021,13:59:00,0,Default,21.2,-0.117,25.2,-0.166,0.01,24.8,16,17.274,-0.118,3.04,1.5
4/1/2021,13:59:30,0,Default,21.1,-0.117,25.1,-0.167,0.01,24.8,16,17.276,-0.117,3.04,1.5
4/1/2021,14:00:00,0,Default,21.1,-0.117,25.1,-0.167,0.01,24.8,16,17.278,-0.118,3.04,1.5
4/1/2021,14:00:30,0,Default,21.1,-0.117,25,-0.167,0.01,24.7,16,17.279,-0.117,3.04,1.5
